ScenarioID,Iteration,Timestep,FlowGroupID,TransitionTypeID,Amount
128,1,2002,LULC: Harvest [Type],Urbanization: Open,841887.7420928329
128,1,2002,LULC: Harvest [Type],Urbanization: Low,540031.2485042214
128,1,2002,LULC: Harvest [Type],Urbanization: Medium,295330.07977962494
128,1,2002,LULC: Harvest [Type],Urbanization: High,83643.06363344193
128,1,2002,LULC: Harvest [Type],Forest Harvest: Forest Clearcut,29806968.551255003
128,1,2002,LULC: Harvest [Type],Forest Harvest: Forest Selection,2229240.7761400566
128,1,2002,LULC: Harvest [Type],Ag Expansion: Pasture,434271.17544412613
128,1,2002,LULC: Harvest [Type],Ag Expansion: Cropland,297125.47221183777
128,1,2002,LULC: Emission [Type],Urbanization: Open,2446083.262373732
128,1,2002,LULC: Emission [Type],Urbanization: Low,1623505.687624551
128,1,2002,LULC: Emission [Type],Urbanization: Medium,958171.3191461866
128,1,2002,LULC: Emission [Type],Urbanization: High,281748.26749126427
128,1,2002,LULC: Emission [Type],Fire: High Severity,4741500.90228588
128,1,2002,LULC: Emission [Type],Fire: Medium Severity,2583551.6331756846
128,1,2002,LULC: Emission [Type],Fire: Low Severity,3570546.185978334
128,1,2002,LULC: Emission [Type],Ag Expansion: Pasture,480641.0736767575
128,1,2002,LULC: Emission [Type],Ag Expansion: Cropland,349343.44766463764
128,1,2002,LULC: Transfer [Type],Fire: High Severity,6793060.094364924
128,1,2002,LULC: Transfer [Type],Fire: Medium Severity,2254602.5300889383
128,1,2002,LULC: Transfer [Type],Fire: Low Severity,1961946.4411837258
128,1,2002,LULC: Transfer [Type],Forest Harvest: Forest Clearcut,3462031.875391634
128,1,2002,LULC: Mortality [Type],Fire: High Severity,7255123.550341123
128,1,2002,LULC: Mortality [Type],Fire: Medium Severity,4063086.812301494
128,1,2002,LULC: Mortality [Type],Fire: Low Severity,5862218.808537699
128,1,2002,LULC: Mortality [Type],Insect: High Severity,5404211.048852464
128,1,2002,LULC: Mortality [Type],Insect: Medium Severity,2354371.7325138687
128,1,2002,LULC: Mortality [Type],Insect: Low Severity,4921349.820955432
128,1,2002,LULC: Mortality [Type],Forest Harvest: Forest Clearcut,32267121.963764332
128,1,2002,LULC: Mortality [Type],Forest Harvest: Forest Selection,2303529.4971249998
128,1,2002,LULC: Mortality [Type],Ag Expansion: Pasture,233506.529648602
128,1,2002,LULC: Mortality [Type],Ag Expansion: Cropland,164887.0495520532
128,1,2002,Net Biome Productivity,Urbanization: Open,-3287971.004466565
128,1,2002,Net Biome Productivity,Urbanization: Low,-2163536.9361287723
128,1,2002,Net Biome Productivity,Urbanization: Medium,-1253501.3989258115
128,1,2002,Net Biome Productivity,Urbanization: High,-365391.3311247062
128,1,2002,Net Biome Productivity,Fire: High Severity,-4741500.90228588
128,1,2002,Net Biome Productivity,Fire: Medium Severity,-2583551.6331756846
128,1,2002,Net Biome Productivity,Fire: Low Severity,-3570546.185978334
128,1,2002,Net Biome Productivity,Forest Harvest: Forest Clearcut,-29806968.551255003
128,1,2002,Net Biome Productivity,Forest Harvest: Forest Selection,-2229240.7761400566
128,1,2002,Net Biome Productivity,Ag Expansion: Pasture,-914912.2491208836
128,1,2002,Net Biome Productivity,Ag Expansion: Cropland,-646468.9198764755
128,1,2003,LULC: Harvest [Type],Urbanization: Open,930655.5147743031
128,1,2003,LULC: Harvest [Type],Urbanization: Low,516943.78048971563
128,1,2003,LULC: Harvest [Type],Urbanization: Medium,269420.5199567386
128,1,2003,LULC: Harvest [Type],Urbanization: High,110018.13246755695
128,1,2003,LULC: Harvest [Type],Forest Harvest: Forest Clearcut,32693162.263663266
128,1,2003,LULC: Harvest [Type],Forest Harvest: Forest Selection,2433644.192813425
128,1,2003,LULC: Harvest [Type],Ag Expansion: Pasture,441949.6812718046
128,1,2003,LULC: Harvest [Type],Ag Expansion: Cropland,250099.9456129829
128,1,2003,LULC: Emission [Type],Urbanization: Open,2610002.4387971335
128,1,2003,LULC: Emission [Type],Urbanization: Low,1641899.2118319306
128,1,2003,LULC: Emission [Type],Urbanization: Medium,896635.8584920996
128,1,2003,LULC: Emission [Type],Urbanization: High,353323.3417870077
128,1,2003,LULC: Emission [Type],Fire: High Severity,5151100.821791188
128,1,2003,LULC: Emission [Type],Fire: Medium Severity,2855275.77584666
128,1,2003,LULC: Emission [Type],Fire: Low Severity,3727888.91006895
128,1,2003,LULC: Emission [Type],Ag Expansion: Pasture,488589.62822765694
128,1,2003,LULC: Emission [Type],Ag Expansion: Cropland,304522.3457710293
128,1,2003,LULC: Transfer [Type],Fire: High Severity,9277964.91394181
128,1,2003,LULC: Transfer [Type],Fire: Medium Severity,3048216.9183969847
128,1,2003,LULC: Transfer [Type],Fire: Low Severity,2485535.7597890045
128,1,2003,LULC: Transfer [Type],Forest Harvest: Forest Clearcut,3709390.1723083896
128,1,2003,LULC: Mortality [Type],Fire: High Severity,10011597.238393089
128,1,2003,LULC: Mortality [Type],Fire: Medium Severity,5890158.734896314
128,1,2003,LULC: Mortality [Type],Fire: Low Severity,7956332.210839829
128,1,2003,LULC: Mortality [Type],Insect: High Severity,7690378.914176112
128,1,2003,LULC: Mortality [Type],Insect: Medium Severity,3876379.1868497087
128,1,2003,LULC: Mortality [Type],Insect: Low Severity,8205531.9145121295
128,1,2003,LULC: Mortality [Type],Forest Harvest: Forest Clearcut,34369514.09583429
128,1,2003,LULC: Mortality [Type],Forest Harvest: Forest Selection,2377977.3844101825
128,1,2003,LULC: Mortality [Type],Ag Expansion: Pasture,231101.28873677592
128,1,2003,LULC: Mortality [Type],Ag Expansion: Cropland,146086.27285645393
128,1,2003,Net Biome Productivity,Urbanization: Open,-3540657.9535714365
128,1,2003,Net Biome Productivity,Urbanization: Low,-2158842.9923216463
128,1,2003,Net Biome Productivity,Urbanization: Medium,-1166056.3784488381
128,1,2003,Net Biome Productivity,Urbanization: High,-463341.4742545646
128,1,2003,Net Biome Productivity,Fire: High Severity,-5151100.821791188
128,1,2003,Net Biome Productivity,Fire: Medium Severity,-2855275.77584666
128,1,2003,Net Biome Productivity,Fire: Low Severity,-3727888.91006895
128,1,2003,Net Biome Productivity,Forest Harvest: Forest Clearcut,-32693162.263663266
128,1,2003,Net Biome Productivity,Forest Harvest: Forest Selection,-2433644.192813425
128,1,2003,Net Biome Productivity,Ag Expansion: Pasture,-930539.3094994616
128,1,2003,Net Biome Productivity,Ag Expansion: Cropland,-554622.2913840122
128,1,2004,LULC: Harvest [Type],Urbanization: Open,855215.2270401799
128,1,2004,LULC: Harvest [Type],Urbanization: Low,588080.3147526225
128,1,2004,LULC: Harvest [Type],Urbanization: Medium,290891.2908352517
128,1,2004,LULC: Harvest [Type],Urbanization: High,133740.4566101759
128,1,2004,LULC: Harvest [Type],Forest Harvest: Forest Clearcut,35711998.00837039
128,1,2004,LULC: Harvest [Type],Forest Harvest: Forest Selection,2495151.1109500015
